mote_id,monitored_time,on_time,tx_time,rx_time,int_time
2,87.0,2.0,1.0,0.0,0.0
3,87.0,2.0,1.0,0.0,0.0
4,87.0,0.0,0.0,0.0,0.0
5,87.0,1.0,0.0,0.0,0.0
6,87.0,1.0,0.0,0.0,0.0
7,87.0,2.0,1.0,0.0,0.0
8,87.0,2.0,1.0,0.0,0.0
9,87.0,2.0,1.0,0.0,0.0
10,87.0,2.0,1.0,0.0,0.0
0,87.0,1.0,0.0,0.0,0.0
1,87.0,1.0,0.0,0.0,0.0
2,87.0,2.0,1.0,0.0,0.0
3,87.0,2.0,1.0,0.0,0.0
4,87.0,0.0,0.0,0.0,0.0
5,87.0,1.0,0.0,0.0,0.0
6,87.0,1.0,0.0,0.0,0.0
7,87.0,2.0,1.0,0.0,0.0
8,87.0,2.0,1.0,0.0,0.0
9,87.0,2.0,1.0,0.0,0.0
10,87.0,2.0,1.0,0.0,0.0
0,87.0,1.0,0.0,0.0,0.0
1,87.0,1.0,0.0,0.0,0.0
2,87.0,2.0,1.0,0.0,0.0
3,87.0,2.0,1.0,0.0,0.0
4,87.0,0.0,0.0,0.0,0.0
5,87.0,1.0,0.0,0.0,0.0
6,87.0,1.0,0.0,0.0,0.0
7,87.0,2.0,1.0,0.0,0.0
8,87.0,2.0,1.0,0.0,0.0
9,87.0,2.0,1.0,0.0,0.0
10,87.0,2.0,1.0,0.0,0.0
0,87.0,1.0,0.0,0.0,0.0
1,87.0,1.0,0.0,0.0,0.0
2,87.0,2.0,1.0,0.0,0.0
3,87.0,2.0,1.0,0.0,0.0
4,87.0,0.0,0.0,0.0,0.0
5,87.0,1.0,0.0,0.0,0.0
6,87.0,1.0,0.0,0.0,0.0
7,87.0,2.0,1.0,0.0,0.0
8,87.0,2.0,1.0,0.0,0.0
9,87.0,2.0,1.0,0.0,0.0
10,87.0,2.0,1.0,0.0,0.0
0,90.0,1.0,0.0,0.0,0.0
1,90.0,1.0,0.0,0.0,0.0
2,90.0,2.0,1.0,0.0,0.0
3,90.0,2.0,1.0,0.0,0.0
4,90.0,0.0,0.0,0.0,0.0
5,90.0,1.0,0.0,0.0,0.0
6,90.0,1.0,0.0,0.0,0.0
7,90.0,2.0,1.0,0.0,0.0
8,90.0,2.0,1.0,0.0,0.0
9,90.0,2.0,1.0,0.0,0.0
10,90.0,2.0,1.0,0.0,0.0
0,100.0,1.0,0.0,0.0,0.0
1,100.0,2.0,0.0,0.0,0.0
2,100.0,2.0,1.0,0.0,0.0
3,100.0,2.0,1.0,0.0,0.0
4,100.0,0.0,0.0,0.0,0.0
5,100.0,1.0,0.0,0.0,0.0
6,100.0,1.0,0.0,0.0,0.0
7,100.0,2.0,1.0,0.0,0.0
8,100.0,2.0,1.0,0.0,0.0
9,100.0,2.0,1.0,0.0,0.0
10,100.0,2.0,1.0,0.0,0.0
0,100.0,1.0,0.0,0.0,0.0
1,100.0,2.0,0.0,0.0,0.0
2,100.0,2.0,1.0,0.0,0.0
3,100.0,2.0,1.0,0.0,0.0
4,100.0,0.0,0.0,0.0,0.0
5,100.0,1.0,0.0,0.0,0.0
6,100.0,1.0,0.0,0.0,0.0
7,100.0,2.0,1.0,0.0,0.0
8,100.0,2.0,1.0,0.0,0.0
9,100.0,2.0,1.0,0.0,0.0
10,100.0,2.0,1.0,0.0,0.0
0,100.0,1.0,0.0,0.0,0.0
1,100.0,2.0,0.0,0.0,0.0
2,100.0,2.0,1.0,0.0,0.0
3,100.0,2.0,1.0,0.0,0.0
4,100.0,0.0,0.0,0.0,0.0
5,100.0,1.0,0.0,0.0,0.0
6,100.0,1.0,0.0,0.0,0.0
7,100.0,2.0,1.0,0.0,0.0
8,100.0,2.0,1.0,0.0,0.0
9,100.0,2.0,1.0,0.0,0.0
10,100.0,2.0,1.0,0.0,0.0
0,100.0,1.0,0.0,0.0,0.0
1,100.0,2.0,0.0,0.0,0.0
2,100.0,2.0,1.0,0.0,0.0
3,100.0,2.0,1.0,0.0,0.0
4,100.0,0.0,0.0,0.0,0.0
5,100.0,1.0,0.0,0.0,0.0
6,100.0,1.0,0.0,0.0,0.0
7,100.0,2.0,1.0,0.0,0.0
8,100.0,2.0,1.0,0.0,0.0
9,100.0,2.0,1.0,0.0,0.0
10,100.0,2.0,1.0,0.0,0.0
0,100.0,1.0,0.0,0.0,0.0
1,100.0,2.0,0.0,0.0,0.0
2,100.0,2.0,1.0,0.0,0.0
3,100.0,2.0,1.0,0.0,0.0
4,100.0,0.0,0.0,0.0,0.0
5,100.0,1.0,0.0,0.0,0.0
6,100.0,1.0,0.0,0.0,0.0
7,100.0,2.0,1.0,0.0,0.0
8,100.0,2.0,1.0,0.0,0.0
9,100.0,2.0,1.0,0.0,0.0
10,100.0,2.0,1.0,0.0,0.0
0,100.0,1.0,0.0,0.0,0.0
1,100.0,2.0,0.0,0.0,0.0
2,100.0,2.0,1.0,0.0,0.0
3,100.0,2.0,1.0,0.0,0.0
4,100.0,0.0,0.0,0.0,0.0
5,100.0,1.0,0.0,0.0,0.0
6,100.0,1.0,0.0,0.0,0.0
7,100.0,2.0,1.0,0.0,0.0
8,100.0,2.0,1.0,0.0,0.0
9,100.0,2.0,1.0,0.0,0.0
10,100.0,2.0,1.0,0.0,0.0
0,100.0,1.0,0.0,0.0,0.0
1,100.0,2.0,0.0,0.0,0.0
2,100.0,2.0,1.0,0.0,0.0
3,100.0,2.0,1.0,0.0,0.0
4,100.0,0.0,0.0,0.0,0.0
5,100.0,1.0,0.0,0.0,0.0
6,100.0,1.0,0.0,0.0,0.0
7,100.0,2.0,1.0,0.0,0.0
8,100.0,2.0,1.0,0.0,0.0
9,100.0,2.0,1.0,0.0,0.0
10,100.0,2.0,1.0,0.0,0.0
0,100.0,1.0,0.0,0.0,0.0
1,100.0,2.0,0.0,0.0,0.0
2,100.0,2.0,1.0,0.0,0.0
3,100.0,2.0,1.0,0.0,0.0
4,100.0,0.0,0.0,0.0,0.0
5,100.0,1.0,0.0,0.0,0.0
6,100.0,1.0,0.0,0.0,0.0
7,100.0,2.0,1.0,0.0,0.0
8,100.0,2.0,1.0,0.0,0.0
9,100.0,2.0,1.0,0.0,0.0
10,100.0,2.0,1.0,0.0,0.0
0,100.0,1.0,0.0,0.0,0.0
1,100.0,2.0,0.0,0.0,0.0
2,100.0,2.0,1.0,0.0,0.0
3,100.0,2.0,1.0,0.0,0.0
4,100.0,0.0,0.0,0.0,0.0
5,100.0,1.0,0.0,0.0,0.0
6,100.0,1.0,0.0,0.0,0.0
7,100.0,2.0,1.0,0.0,0.0
8,100.0,2.0,1.0,0.0,0.0
9,100.0,2.0,1.0,0.0,0.0
10,100.0,2.0,1.0,0.0,0.0
0,101.0,1.0,0.0,0.0,0.0
1,101.0,2.0,0.0,0.0,0.0
2,101.0,2.0,1.0,0.0,0.0
3,101.0,2.0,1.0,0.0,0.0
4,101.0,0.0,0.0,0.0,0.0
5,101.0,1.0,0.0,0.0,0.0
6,101.0,1.0,0.0,0.0,0.0
7,101.0,2.0,1.0,0.0,0.0
8,101.0,2.0,1.0,0.0,0.0
9,101.0,2.0,1.0,0.0,0.0
10,101.0,2.0,1.0,0.0,0.0
0,101.0,1.0,0.0,0.0,0.0
1,101.0,2.0,0.0,0.0,0.0
2,101.0,2.0,1.0,0.0,0.0
3,101.0,2.0,1.0,0.0,0.0
4,101.0,0.0,0.0,0.0,0.0
5,101.0,1.0,0.0,0.0,0.0
6,101.0,1.0,0.0,0.0,0.0
